trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
140,False,"{'a': 0.5, 'e': 0.9834836661932461}",20,0,-38.17799731036499,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
141,False,"{'a': 0.5, 'e': 0.9832475392440675}",25,0,-109.4963679167339,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
142,False,"{'a': 0.5, 'e': 0.9830097506067816}",20,0,-66.79204872671573,"{0: 10, 1: 4, 2: 6, 3: 0, 4: 0}",0
143,False,"{'a': 0.5, 'e': 0.9827703006832511}",25,0,-53.96548617688016,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
144,False,"{'a': 0.5, 'e': 0.9825291898781464}",25,0,-195.79656548178593,"{0: 13, 1: 0, 2: 9, 3: 0, 4: 3}",0
145,False,"{'a': 0.5, 'e': 0.9822864185989446}",30,0,-200.11812457767252,"{0: 18, 1: 1, 2: 7, 3: 1, 4: 3}",0
146,False,"{'a': 0.5, 'e': 0.9820419872559292}",20,0,-188.59544756447582,"{0: 6, 1: 5, 2: 5, 3: 2, 4: 2}",0
147,False,"{'a': 0.5, 'e': 0.981795896262189}",20,0,-67.54861408148699,"{0: 10, 1: 5, 2: 5, 3: 0, 4: 0}",0
148,False,"{'a': 0.5, 'e': 0.9815481460336178}",20,0,-65.13879958330189,"{0: 11, 1: 5, 2: 3, 3: 1, 4: 0}",0
149,False,"{'a': 0.5, 'e': 0.9812987369889136}",20,0,-53.408317530230455,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
150,False,"{'a': 0.5, 'e': 0.9810476695495772}",35,0,-161.9777428081786,"{0: 21, 1: 2, 2: 9, 3: 2, 4: 1}",0
151,False,"{'a': 0.5, 'e': 0.980794944139913}",30,0,-125.62744918691052,"{0: 17, 1: 2, 2: 9, 3: 2, 4: 0}",0
152,False,"{'a': 0.5, 'e': 0.9805405611870265}",30,0,-193.06047064526388,"{0: 18, 1: 4, 2: 3, 3: 2, 4: 3}",0
153,False,"{'a': 0.5, 'e': 0.9802845211208249}",25,0,-84.36405859628779,"{0: 14, 1: 3, 2: 7, 3: 1, 4: 0}",0
154,False,"{'a': 0.5, 'e': 0.980026824374016}",20,0,-91.0941891137183,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 1}",0
155,False,"{'a': 0.5, 'e': 0.9797674713821072}",20,0,-189.72715669047332,"{0: 9, 1: 2, 2: 5, 3: 1, 4: 3}",0
156,False,"{'a': 0.5, 'e': 0.9795064625834049}",35,0,-208.38271423346742,"{0: 22, 1: 1, 2: 7, 3: 2, 4: 3}",0
157,False,"{'a': 0.5, 'e': 0.979243798419014}",25,0,-156.06815609659236,"{0: 13, 1: 3, 2: 6, 3: 1, 4: 2}",0
158,False,"{'a': 0.5, 'e': 0.9789794793328368}",20,0,-73.33934414401736,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
159,False,"{'a': 0.5, 'e': 0.9787135057715726}",25,0,-14.445080334625917,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
160,False,"{'a': 0.5, 'e': 0.9784458781847165}",20,13,-30.48775591055718,"{0: 4, 1: 1, 2: 1, 3: 1, 4: 0}",1
161,False,"{'a': 0.5, 'e': 0.9781765970245593}",25,0,-211.66806824951524,"{0: 10, 1: 3, 2: 9, 3: 0, 4: 3}",0
162,False,"{'a': 0.5, 'e': 0.9779056627461857}",20,0,-54.09113623475207,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
163,False,"{'a': 0.5, 'e': 0.977633075807475}",20,7,-87.58459468306498,"{0: 9, 1: 1, 2: 0, 3: 1, 4: 2}",1
164,False,"{'a': 0.5, 'e': 0.9773588366690988}",20,0,-106.2301718267922,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
165,False,"{'a': 0.5, 'e': 0.9770829457945213}",20,0,-165.40738496113804,"{0: 10, 1: 1, 2: 5, 3: 2, 4: 2}",0
166,False,"{'a': 0.5, 'e': 0.9768054036499979}",20,0,-112.00511386161003,"{0: 9, 1: 2, 2: 7, 3: 2, 4: 0}",0
167,False,"{'a': 0.5, 'e': 0.9765262107045749}",30,0,-98.76594654990095,"{0: 19, 1: 6, 2: 3, 3: 1, 4: 1}",0
168,False,"{'a': 0.5, 'e': 0.9762453674300882}",25,0,-139.08600538266407,"{0: 12, 1: 3, 2: 8, 3: 1, 4: 1}",0
169,False,"{'a': 0.5, 'e': 0.9759628743011628}",25,0,-136.27681868823214,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 3}",0
170,False,"{'a': 0.5, 'e': 0.9756787317952123}",30,0,-135.29181505945058,"{0: 17, 1: 3, 2: 8, 3: 1, 4: 1}",0
171,False,"{'a': 0.5, 'e': 0.9753929403924371}",25,0,-21.41475415177674,"{0: 19, 1: 4, 2: 2, 3: 0, 4: 0}",0
172,False,"{'a': 0.5, 'e': 0.9751055005758249}",20,0,-104.72126014189371,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
173,False,"{'a': 0.5, 'e': 0.9748164128311487}",30,0,-255.75783982018763,"{0: 16, 1: 4, 2: 5, 3: 0, 4: 5}",0
174,False,"{'a': 0.5, 'e': 0.974525677646967}",20,0,-210.75129706533244,"{0: 8, 1: 1, 2: 7, 3: 1, 4: 3}",0
