trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1179,False,"{'a': 0.5, 'e': 0.33007528297878824}",20,12,4.717248800495758,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
1180,False,"{'a': 0.5, 'e': 0.32908678176594164}",25,3,-7.60937203906349,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 1}",1
1181,False,"{'a': 0.5, 'e': 0.32809791980523606}",20,5,13.443442414961421,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
1182,False,"{'a': 0.5, 'e': 0.32710869818067073}",20,0,-3.381819027900097,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
1183,False,"{'a': 0.5, 'e': 0.3261191179766393}",25,15,-4.799380830922919,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
1184,False,"{'a': 0.5, 'e': 0.3251291802779285}",20,0,-31.24310167147618,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
1185,False,"{'a': 0.5, 'e': 0.3241388861697164}",30,0,-18.35695505394618,"{0: 27, 1: 0, 2: 2, 3: 0, 4: 1}",1
1186,False,"{'a': 0.5, 'e': 0.3231482367375726}",20,0,1.0634784143389175,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
1187,False,"{'a': 0.5, 'e': 0.32215723306745564}",20,0,-36.376634811786005,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
1188,False,"{'a': 0.5, 'e': 0.32116587624571263}",25,11,1.3985051923732026,"{0: 11, 1: 2, 2: 1, 3: 0, 4: 0}",1
1189,False,"{'a': 0.5, 'e': 0.3201741673590778}",20,0,-7.114407886498374,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",1
1190,False,"{'a': 0.5, 'e': 0.3191821074946712}",25,12,23.896295695488025,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1191,False,"{'a': 0.5, 'e': 0.3181896977399976}",20,14,-28.937863103828278,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
1192,False,"{'a': 0.5, 'e': 0.3171969391829456}",20,0,-27.49560280710705,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
1193,False,"{'a': 0.5, 'e': 0.31620383291178583}",35,21,28.861214996262408,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1194,False,"{'a': 0.5, 'e': 0.3152103800151702}",20,5,-32.8935773247779,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 1}",1
1195,False,"{'a': 0.5, 'e': 0.31421658158213095}",30,15,-0.25103425494479037,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
1196,False,"{'a': 0.5, 'e': 0.3132224387020783}",25,5,18.159078283596177,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
1197,False,"{'a': 0.5, 'e': 0.3122279524648006}",20,9,-21.48754999158113,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
1198,False,"{'a': 0.5, 'e': 0.3112331239604627}",25,8,11.582855804563591,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
1199,False,"{'a': 0.5, 'e': 0.3102379542796044}",30,23,14.634376020567814,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1200,False,"{'a': 0.5, 'e': 0.3092424445131395}",20,8,22.652338037306624,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1201,False,"{'a': 0.5, 'e': 0.3082465957523547}",25,5,-0.5940815101213612,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",1
1202,False,"{'a': 0.5, 'e': 0.30725040908890827}",20,9,6.1559314451189895,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
1203,False,"{'a': 0.5, 'e': 0.30625388561482897}",30,10,-30.297606187508247,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",1
1204,False,"{'a': 0.5, 'e': 0.3052570264225146}",20,0,-38.2685672213387,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
1205,False,"{'a': 0.5, 'e': 0.3042598326047311}",20,12,4.566894863200451,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
1206,False,"{'a': 0.5, 'e': 0.3032623052546115}",25,17,16.399770792876943,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1207,False,"{'a': 0.5, 'e': 0.3022644454656537}",25,0,-32.71000143912861,"{0: 20, 1: 0, 2: 4, 3: 1, 4: 0}",0
1208,False,"{'a': 0.5, 'e': 0.30126625433172055}",25,9,-10.451906062358049,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
1209,False,"{'a': 0.5, 'e': 0.3002677329470383}",20,7,0.8675891243623877,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
1210,False,"{'a': 0.5, 'e': 0.29926888240619476}",20,16,8.828340376311369,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1211,False,"{'a': 0.5, 'e': 0.2982697038041389}",20,3,-23.31979358178811,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
1212,False,"{'a': 0.5, 'e': 0.29727019823617923}",20,15,10.96277820337808,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1213,False,"{'a': 0.5, 'e': 0.2962703667979825}",20,14,0.3195396114026652,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
